Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал
Кукуруза Бондюэль сладкая в зёрнах;3,3;2,3;14,7;93
Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке;3,9;1,3;22;115
Кукуруза варёная;4,1;2,3;22,5;123
Кукуруза мини;3,1;1,6;21,8;114
Кукуруза сладкая в початках;3,5;2,8;15,6;101
Кукуруза сладкая консервированная;2,2;0;11,2;58
Купырь (кервель);3,2;0,3;7,3;45
Лаванда;4;0,7;0,2;23
Лагенария;0,6;0;3,4;15
Лебеда садовая сушеная;14,1;6,1;64,2;368
Лечо Бондюэль в томатном соусе замороженное;1,3;0,9;5,4;35
Лечо Бондюэль консервированное;1,5;0,3;17;65
Листья алоэ;0;0;5;20
Листья амаранта;2,5;0,3;4;23
Листья винограда;5,6;2,1;6,3;93
Листья винограда консервированные;4,3;2;11,7;69
Листья вишни;0;0;0,1;1
Листья карри;16,8;8,3;17,5;203
Листья смородины;0,1;0;0,1;1
Листья хрена;9,4;1,4;6,2;64
Лоби 4 сезона зелёный нарезанный;3,1;0,3;3,1;28
Лопух (репейник) корень;1,5;0,1;14;72
Лопух (репейник) листья;1,8;0,2;3,7;19
Лук белый;1,4;0,2;9;42
Лук душистый джусай;1,4;0,2;8,2;41
Лук зелёный;1,3;0;4,6;19
Лук красный;1,4;0;9,1;42
Лук красный маринованный;0,9;0,1;2,8;19
Лук маринованный;0,9;0,1;2,8;19
Лук порей;2;0;8,2;33
Лук репчатый;1,4;0;10,4;47
Лук репчатый 4 сезона нарезанный;1,2;0,2;8,6;38
Лук репчатый пассерованный;1,2;17;8,6;193
Лук репчатый сушеный;8,4;2,8;42,6;219
Лук-чеснок рокамболь;6,4;0,5;31;149
Лук-шалот;2,5;0,1;16,8;72
Любисток;3,7;0,4;7,6;20
Люффа;1,2;0,2;4,4;20
Люцерна;0,2;0,7;4;23
Мангольд;1,8;0,2;3,7;19
Маслины;2,2;10,5;5,1;166
Маслины Бондюэль с косточкой / без косточки;0,8;10,7;6,3;115
Мать-и-мачеха;0;0;0;1
Маш-салат;1,1;0;3,5;23
Мелисса лекарственная;3,7;0,4;8;49
Мелотрия (Африканский огурец);0,8;0,1;2,5;14
Микрозелень;2,6;0,1;5;31
Микрозелень Агрохолдинг Московский Кресс-салат;2,6;0,7;4,4;31
Микрозелень гороха Botanica Farm;3;0,6;1,4;23
Микрозелень подсолнечника Botanica Farm;3;0,6;1,4;23
Микрозелень редиса Botanica Farm;3;0,6;1,4;23
Микс семян для прорастания;15,6;3,4;15,6;156
Мирпуа;1,8;0;7,8;38
Момордика (Индийский огурец);0,8;0,1;3;15
Морковная ботва;0,6;0,1;5,3;35
Морковные палочки;1;0;6;29
Морковный жмых;0,6;0,1;4,5;20
Морковь;1,3;0,1;6,9;32
Морковь Бондюэль молодая целая;0,8;0,5;5;27
Морковь Бондюэль молодая Экстра;0,5;0,7;4,2;25
Морковь варёная;0,8;0,3;5;25
Морковь жёлтая;1,3;0,1;7,2;33
Морковь квашеная;1,3;0,1;4,5;26
Морковь консервированная;0,6;0,1;3,6;23
Морковь пассерованная;0,9;10,2;8,5;127
Морковь сушеная;7,8;0,6;49,2;221
Морковь фиолетовая;1,3;0,1;6,9;35
Нут;19;6;61;364
Нут Fresh Food отварной;9;0;19;140
Нут Бондюэль На пару;6,4;2,2;14,7;120
Нут вареный;8,3;1,9;19,3;127
Нут консервированный;7,2;3,4;19,5;125
Овощи;2,5;0,1;5;31
Овощи Бондюэль для супа из шампиньонов;0,3;0,3;6;22
Овощи весенние Краски лета;3,2;0;8;45
Овощи для жарки Hortex;2,1;1,7;8,5;63
Овощи для жарки Hortex с приправой по-восточному;2,2;0,3;4,5;37
Овощи для жарки Hortex с приправой по-итальянски;2,4;0,5;6,7;47
Овощи для жарки Hortex с пряными травами и перцем;2,1;1,5;11,1;71
Овощи для жарки Hortex с рисом и шампиньонами;2,8;0,4;10;60
Овощи для жарки Hortex с укропом;2,2;1,5;8,4;61
Овощи для жарки Краски лета;2,4;0;10,8;53
Овощная смесь 4 сезона Весенние овощи;2,9;0,3;10;54
Овощная смесь 4 сезона Восточная;2,7;0,4;7,5;44
Овощная смесь 4 сезона Гавайская;3,7;1,2;24,8;125
Овощная смесь 4 сезона Грибное жаркое с гречкой;4,3;0,9;15,9;85
Овощная смесь 4 сезона Грибы с картошкой;2;0,5;7,4;40
Овощная смесь 4 сезона Гювеч;1,4;0,1;5,2;51
Овощная смесь 4 сезона Итальянская;5,4;0,9;22;114
Овощная смесь 4 сезона Калифорния;7,6;1,6;42,6;154
Овощная смесь 4 сезона Китайская;2,3;1,2;3,9;34
Овощная смесь 4 сезона Летние овощи;3,5;0,3;7,5;47
Овощная смесь 4 сезона Лечо;1,2;0,1;5,3;27
Овощная смесь 4 сезона Мексиканская;3,4;0,9;16,4;87
Овощная смесь 4 сезона Мусака;1,5;0,2;8,1;40
Овощная смесь 4 сезона Овощи для жарки с шампиньонами;4,9;1,2;2,1;39
Овощная смесь 4 сезона Овощи по-деревенски;5,4;1,7;26,1;141
Овощная смесь 4 сезона Овощи с гречкой;3,5;0,8;16,8;84
Овощная смесь 4 сезона Овощное рагу;0,5;0,1;3,8;38
Овощная смесь 4 сезона Паприкаш;3,5;0,1;8,9;51
Овощная смесь 4 сезона Паста с лесными грибами;0,1;0,9;16;84
Овощная смесь 4 сезона Сибирская;2,6;0,5;10,7;58
Овощная смесь 4 сезона Скандинавская;2,8;0,3;5,9;38
Овощная смесь 4 сезона Столичный салат;1,8;0,2;12,1;57
Овощная смесь Hortex mexico;3,6;0,4;7,5;56
Овощная смесь Hortex stir-fry vegetables;2,2;2,1;13,1;85
Овощная смесь Hortex vip;1,9;0,4;5,4;39
Овощная смесь Hortex брокколи;1,9;0,3;3,1;28
Овощная смесь Hortex брокколи и цветная;2,5;0,3;2,4;27
Овощная смесь Hortex весенние овощи;2,8;0,3;3,9;37
Овощная смесь Hortex восточное блюдо;1,6;0,2;3,2;27
Овощная смесь Hortex гавайская;3,7;0,6;18,5;100
Овощная смесь Hortex картофель по-деревенски;1,3;0,3;5,5;34
Овощная смесь Hortex кус-кус;2,1;0,2;4,6;34
Овощная смесь Hortex летние овощи;2,6;0,2;4,2;36
Овощная смесь Hortex лечо;1,1;0,3;3;22
Овощная смесь Hortex овощи по-деревенски;1,8;0,3;7,3;44
Овощная смесь Hortex овощи по-домашнему;1,3;0,3;3,9;28
Овощная смесь Hortex паприкаш;1,3;0,2;2,9;22
Овощная смесь Hortex рагу;1,3;0,2;2,3;19
Овощная смесь Hortex рататуй;1,1;0,2;2,6;19
Овощная смесь Vитамин Мексиканская;2,5;0,5;11;50
Овощная смесь Vитамин Овощи-гриль с итальянскими травами;1,5;1,4;9;55
Овощная смесь Vитамин Сотэ с прованскими травами;1,7;0,2;5,6;29
Овощная смесь Алтайская кладовая с грибами;4;0,3;4;50
Овощная смесь Бондюэль Весенняя;2,6;0,5;4,5;35
Овощная смесь Бондюэль для жарки ВОК по-азиатски;2,8;0,2;4,5;30
Овощная смесь Бондюэль для жарки Гавайская;3;0,5;22,7;91
Овощная смесь Бондюэль для жарки Индонезийская;1,8;0;7,8;38
Овощная смесь Бондюэль для жарки Китайская;2,5;0,4;11,7;61
Овощная смесь Бондюэль для жарки По-деревенски;1,7;4,6;4,4;65
Овощная смесь Бондюэль для жарки Полевая;2;0,4;3,3;25
Овощная смесь Бондюэль для жарки с рисом и шампиньонами;2,5;0,3;14,7;58
Овощная смесь Бондюэль Китайская;1,3;0,2;3,2;19
Овощная смесь Бондюэль Летняя в сливочном соусе;2;2,8;9,3;70
Овощная смесь Бондюэль Маседуан;2,2;0,3;7,9;43
Овощная смесь Бондюэль Мексиканская;3,6;0,7;12,7;72
Овощная смесь Бондюэль Минестрон;1,9;0,7;11,8;51
Овощная смесь Бондюэль Царская;1,4;0,3;5,1;20
Овощная смесь ВкусВилл для Wok;1,4;0;6,2;30
Овощная смесь Зимовье Гарнир с красной фасолью по-мексикански;6,1;0,6;10,4;63
Овощная смесь Мираторг Бельгийская;2,9;0,1;6,2;37
Овощная смесь Мираторг Итальянская;2,7;0;7;41
Овощная смесь Мираторг Канадская;1,5;0,1;4,5;28
Овощная смесь Мираторг Кус-кус с овощами в соусе Марокко;0;1,1;30,7;166
Овощная смесь Мираторг Рататуй;1,1;0,2;2,7;17
Овощная смесь Мираторг Сотэ с прованскими травами;1,7;0,2;5,6;29
Овощная смесь Свой урожай Американская;2,5;0,2;8,4;46
Овощное рагу 4 сезона;0,5;0,1;3,8;38
Овощные наггетсы Vитамин Весенние со шпинатом;1,4;0;12;54
Овощные наггетсы Vитамин Витаминный микс;1,6;0;11,6;53
Овощные наггетсы Vитамин Рататуй;0,9;6,8;12;113
Огурец;0,8;0,1;2,8;15
Огурец китайский;0,8;0,1;2,5;14
Огурец консервированный;2,8;0;1,3;16
Огурец маринованный;2,8;0;1,3;16
Огурец парниковый;0,7;0;1,8;10
Огурцы солёные;0,8;0,1;1,7;11
Огурцы Бондюэль корнишоны маринованные 3-6 см;1;0,2;3,5;20
Огурцы Бондюэль маринованные 6-9 см;1;0,2;3,5;20
Одуванчик;2,7;0,7;6,7;45
Оливки;0,8;10,7;6,3;115
Оливки Бондюэль Мансанилья с голубым сыром;2,2;10,5;5,1;167
Оливки Бондюэль с косточкой / без косточки;1,4;18,2;5,1;160
Пастернак;1,4;0,5;9,2;47
Пастушья сумка;0,7;0,1;5,2;29
Патиссон;0,6;0,1;4,3;19
Патиссон консервированный;3,9;0;2;18
Пачули;0;0;0;1
Паштет VolkoMolko из семечек Томатный с зеленью;7,6;26,8;9,6;310
Перец мини;1,3;0;5,7;27
Перец Рамиро;1,3;0,1;5,2;30
Перец ратунда;1,3;0,1;4,9;26
Перец сладкий 4 сезона нарезанный;1,3;0,1;5,4;27
Перец сладкий жёлтый;1,3;0;5,3;27
Перец сладкий замороженный;1,3;0;5,7;27
Перец сладкий зелёный;1,3;0;6,9;33
Перец сладкий красный;1,3;0;5,3;27
Перец сладкий маринованный;1,3;0,1;4,9;25
Перилла;0;0;0;
Петрушка;3,7;0,4;7,6;47
Петрушка (корень);1,5;0,6;10,1;49
Подорожник;0,4;0,1;7;26
Полынь;1,5;0;5;25
Портулак;1,3;0,1;3,4;17
Проростки Русский Спраут Испанский горох (нут);7;1;20;110
Расторопша пятнистая сухая;24;10;52,5;396
Ревень;0,7;0,1;2,5;13
Редис;1,2;0,1;3,4;19
Редька белая;1,4;0;4,1;21
Редька зелёная;2;0,2;6,5;32
Редька красная;1,2;0,1;3,4;20
Редька маргеланская (китайская);1,2;0;4,1;21
Редька чёрная;1,9;0,2;6,7;35
Репа;1,5;0,1;6,2;30
Ростки фасоли Бондюэль Мунго;1,5;0,1;1,8;14
Руккола;2,6;0,7;2,1;25
Салат;1,2;0,3;1,3;12
Салат Агрохолдинг Московский Гранж зелёный листовой;1,7;0,3;2,2;18
Салат Агрохолдинг Московский Изилиф зелёный листовой;1,3;0,2;2,2;16
Салат Агрохолдинг Московский Латук дуболистный зелёный;1,4;0,2;1,9;15
Салат Агрохолдинг Московский Премиум зелёный;1,4;0,2;1,9;15
Салат Агрохолдинг Московский Премиум красный листовой;1,3;0,2;2,2;16
Салат Агрохолдинг Московский Ромэн;1,8;1,1;2,7;17
Салат Агрохолдинг Московский Трио красно-зелёный;1,4;0,2;1,9;15
Салат Агрохолдинг Московский Фриллис хрустящий;1,4;0,2;1,6;25
Салат Айсберг;0,9;0,1;1,8;14
Салат Афицион;1,5;0,2;2,2;14
Салат Батавия;1,5;0,2;2;16
Салат из микрозелени Дабл Боб Botanica Farm;2,8;10,1;3,6;113
Салат кочанный;0,9;0,1;1,8;14
Салат Лолло Росса;1,5;0,2;2;16
Салат Мицуна;2;0,2;1,5;16
Салат Оаклиф;1,5;0,2;2;16
Салат Полевой;1,1;0;3,5;23
Салат Радичио;1,5;0,2;3,3;20
Салат Романо;1,8;1,1;2,7;17
Салат РОСТ маслянистый в горшочке;0,9;0,1;1,8;14
Салат Фризе;1,5;0;2,2;14
Салат Фриллис Выборжец свежий;2;0,1;7;37
Салат-коктейль Бондюэль Гавайский маринованный;1,7;0,5;20;91
Салат-коктейль Бондюэль Сомбреро;1,7;0,8;11,9;62
Салатный микс Солнечная фазенда Каталония;1,8;0,2;5,9;34
Салатный ростковый микс Солнечная планета Живая энергия;11,6;3,8;29,8;200
Салаты Белая Дача Baby Mix;1,5;0,2;2,3;17
Салаты Белая Дача Girls Mix;1,5;0,2;2,3;17
Салаты Белая Дача Mens Mix;1,5;0,2;2,3;17
Салаты Белая Дача Party Mix;1,5;0,2;2,3;17
Салаты Белая Дача Tango Mix;1,5;0,2;2,3;17
Салаты Белая Дача Tango Mix World Class;1,5;0,2;2;16
Салаты Белая Дача Vita Mix;1,5;0,2;2,3;17
Салаты Белая Дача Vita Mix World Class;1,8;0,2;3,8;24
Салаты Белая Дача Аликанте;1,5;0,2;2,3;17
Салаты Белая Дача Ассорти;1,4;0,2;3,1;19
Салаты Белая Дача Афиша Еда;1,5;0,2;2,3;17
Салаты Белая Дача Весенний Микс;1,4;0,2;2,9;19
Салаты Белая Дача Две капусты с морковью;1,7;0,1;5,4;30
Салаты Белая Дача Капуста с морковью;1,8;0,1;5,2;27
Салаты Белая Дача Кейломания Микс №2;2,2;0,4;3,8;27
Салаты Белая Дача Лазурный берег;2,1;0,3;3,6;25
Салаты Белая Дача Молодой шпинат;1,5;0,2;2,3;17
Салаты Белая Дача Монпелье;1,5;0,2;2,3;17
Салаты Белая Дача Нежный корн;1,5;0,2;2,3;17
Салаты Белая Дача Окинава;1,5;0,2;2,3;17
Салаты Белая Дача Олимп;1,5;0,2;3,3;20
Салаты Белая Дача Пикантный фриссе;1,5;0,2;2,3;17
Салаты Белая Дача Полезный кейл;2;0,4;4;30
Салаты Белая Дача Пряная рукола;1,5;0,2;2,3;17
Салаты Белая Дача Сладкая свекла;1,5;0,1;9,1;42
Салаты Белая Дача Сочная морковь;1,3;0,1;7,2;34
Салаты Белая Дача Сочный романо;1,5;0,2;2,3;17
Салаты Белая Дача Средиземноморский салат;1,5;0,2;2;16
Салаты Белая Дача Тоскана;1,5;0,2;2;16
Салаты Белая Дача Хрустящий айсберг;1,5;0,2;2,3;17
Свекла;1,5;0,1;8,8;43
Свекла Fresh Food отварная;1,8;0;9,8;48
Свекла Бондюэль в кубиках в кисло-сладком маринаде;0,8;0,1;6,5;30
Свекла варёная;1,8;0;10,8;49
Свекла жёлтая;1,5;0,1;9,1;50
Свекла запеченная;1,5;0;8,5;41
Свекла квашеная;1,3;0;6;32
Свекла консервированная;0,9;0,1;5,4;31
Свекла сушеная;9;0,6;56,6;254
Свекла тушеная;2,7;5,5;12,2;106
Свекольная ботва;2,1;0,5;5,5;17
Сельдерей;0,9;0,1;2,1;12
Сельдерей (корень);1,3;0,3;6,5;32
Сельдерей (корень) сушеный;7,8;2;36,6;186
Скорцонера;1;1;1;17
Соя;34,9;17,3;17,3;381
Соя (ростки);13,1;6,7;9,6;141
Соя (сухие семена);34,9;17,3;26,5;332
Спаржа;1,9;0,1;3,1;20
Спаржа Бондюэль зелёная целая;0,6;1,3;2,6;24
Спаржа маринованная;1,8;0,2;1,5;15
Стевия (Медовая трава);0;0;0,1;18
Стрелолист обыкновенный (Болотник);5,3;0,3;20,2;99
Томат (помидор);1,1;0,2;3,7;20
Томат вяленый;14,1;3;43,5;258
Томат замороженный;1,1;0,2;3,9;22
Томат консервированный;1,1;0,1;3,5;20
Томат маринованный;1,7;0,2;1,8;15
Томат солёный;1,1;0,1;1,6;13
Томат сушеный;3,1;4,4;4,7;71
Томат черри;0,8;0,1;2,8;15
Томаты 4 сезона нарезанные;1,1;0,2;3,9;22
Томаты Parmalat Pomi протертые;1,3;0,2;4;26
Томаты Агрохолдинг Московский розовые Эксклюзив;0,9;0,2;3,9;18
Томаты в собственном соку;1,2;0,5;3,6;24
Топинамбур;2,1;0,1;12,8;61
Турнепс;1;0;6;28
Тыква;1,3;0,3;7,7;28
Тыква 4 сезона нарезанная;1,3;0,3;7,7;28
Тыква баттернат;1;0,1;9,7;45
Тыква жареная;1,4;5,5;5,2;76
Тыква маринованная;0,6;0,1;8,9;42
Тыква мускатная;1;0,1;9,7;45
Тысячелистник;0,4;0;5;23
Укроп;2,5;0,5;6,3;38
Фава Полезные продукты Классическая;13;5;30;220
Фасоль (ростки);1,5;0,1;1,8;14
Фасоль 4 сезона зелёная стручковая нарезанная;3,1;0,3;3,1;28
Фасоль 4 сезона золотистая стручковая нарезанная;3,1;0,3;3,1;28
Фасоль Heinz в томатном соусе;4,9;0,2;12,9;73
Фасоль Hortex стручковая резаная;2,2;0,2;3,3;31
Фасоль белая;20,9;1,8;64;325
Фасоль белая консервированная;6,7;0;16;91
Фасоль Бондюэль белая в томатном соусе;5,4;0,3;20,3;106
Фасоль Бондюэль белая консервированная;6,7;0,3;17,4;99
Фасоль Бондюэль белая Пикантная в томатном соусе;5,5;3;19;125
Фасоль Бондюэль зелёная резаная;1,4;0,2;4,4;25
Фасоль Бондюэль зелёная стручковая замороженная;1,9;0,2;7,6;28
Фасоль Бондюэль коричневая со сладким перцем в соусе Кайен;2,6;0,4;7,6;44
Фасоль Бондюэль красная в соусе Чили;5,5;3;19;112
Фасоль Бондюэль красная в томатном соусе чили;5,8;2,8;19;124
Фасоль Бондюэль красная консервированная;6,7;0,3;17,4;99
Фасоль Бондюэль красная с кукурузой в мексиканском соусе;4,6;3,1;18,3;120
Фасоль варёная;7,8;0,5;21,5;123
Фасоль красная;21;1,6;52,7;310
Фасоль красная консервированная;6,7;0,3;17,4;99
Фасоль лимская;6,8;0,9;15,3;113
Фасоль спаржевая;2,8;0,4;8,4;47
Фасоль стручковая;2;0,2;3,6;24
Фасоль стручковая консервированная;1,2;0,1;2,4;16
Фасоль сухая;21,1;1,2;41,4;265
Фасоль Угощение Славянки домашняя традиционная из печи;8;1,5;26;150
Фасоль чёрная;8,9;0,5;23,7;132
Фенхель;1,2;0,2;7,3;31
Физалис;1;1;3,9;32
Хикама;0,7;0,1;8,8;38
Хрен;3,2;0,4;10,5;56
Цуккини;1,5;0,2;3;16
Цуккини варёный;0,8;0,1;2,5;13
Чайот (Мексиканский огурец);0,8;0,1;2,8;19
Черемша;2,4;0,1;6,5;35
Чеснок;6,5;0,5;29,9;143
Чеснок (стрелки маринованные);1;0;3,5;24
Чеснок (стрелки);1,3;0,1;3,4;24
Чеснок маринованный;1,8;0,1;9,1;42
Чеснок молодой зелёный;6;0;5;40
Чеснок молодой маринованный;1,8;0;9;42
Чеснок тертый Фермерский;5,9;0,5;27,2;137
Чеснок чёрный;6,5;0,5;29,9;149
Чечевица (ростки);9;0,6;22,1;119
Чечевица Бондюэль консервированная;8,6;0,6;17,5;110
Чечевица варёная;7,8;0;20,1;112
Чечевица красная;21,6;1,1;48;314
Чечевица сушёная;24;1,5;42,7;284
Шнитт-лук;3,3;0,7;1,9;30
Шпинат;2,9;0,3;2;22
Шпинат 4 сезона листья порционные;3;0,2;5,4;22
Шпинат Hortex размельченный;2,3;0,4;0,4;19
Шпинат Бондюэль в листьях;3,6;0,5;2,7;30
Шпинат Бондюэль в листьях консервированный;2,8;0,4;1,8;22
Шпинат Бондюэль в листьях порционный;3,7;0,5;2;27
Шпинат Бондюэль рубленый в галетах;2,8;0,7;2,5;27
Шпинат замороженный;2,6;0,8;7,2;24
Щавель;1,5;0,3;2,9;19
Эдамам;13;6,2;11,1;147
Эндивий;1,3;0,2;0,3;17
Якон;2,1;0,1;12,8;61
Ямс;1,5;0,2;23,8;118
